age,income,education,city,occupation,credit_score,loan_amount
0.4876010678502334,0.707548179368717,0,7,1,0.3922500362416633,0.6010732782597212
0.39065214025928074,0.6301499487349342,2,0,2,0.5250795508305995,0.4210092884032948
0.5106519361619348,0.4891205448789846,0,9,2,0.5461729801409224,0.3692201951748785
0.6442996237755478,0.37392243856293284,2,3,0,0.39100925048863255,0.6136083685136874
0.416405783785724,0.5932361948458299,2,1,3,0.7059950230304656,0.8260532421020715
0.3760142401829058,0.5435519824276049,3,0,0,0.5552662490198063,0.7314630918456486
0.6528776748853027,0.6253500007260004,2,3,4,0.6219343641425549,0.6502039612937589
0.5289348632898505,0.5829563300102036,0,8,0,0.5357797084232055,0.6914361207519599
0.34008276689920286,0.6505166414469087,3,9,5,0.9024482256851535,0.639673558928564
0.49460084854577746,0.3921341668263839,1,5,7,0.6308425474167992,0.6112021790157336
0.34100750678463554,0.6941852672146104,1,5,2,0.4354393303012437,0.6792229401697425
0.3406544998290186,0.5116149314762706,3,9,0,0.671309214182657,0.3355730254102086
0.44870538320894904,0.8177472263270829,0,7,2,0.22828348646719276,0.573241970292337
0.11964153975088435,0.36703386490298506,1,7,6,0.5449254910211475,0.5307312685129819
0.1484008365988272,0.7624285209333772,1,5,3,0.5808854846675396,0.5549629656595045
0.3259119951972718,0.5116656657980952,2,2,0,0.5469834236220744,0.4730630824823164
0.2571227036838649,0.37319182330518785,2,1,7,0.46322821441389317,0.6219025019273698
0.416405783785724,0.4005061256262019,0,5,5,0.340965967207156,0.4190130607871171
0.27312471214838974,0.4271693076777535,3,2,4,0.3811364865519541,0.4620754829125136
0.19613096754710124,0.5485541149743921,0,0,2,0.5417674871160759,0.44388098686092275
0.6355386416364313,0.5646411130544136,3,2,3,0.32272182738639266,0.6739671589858183
0.37729075070491,0.3858628998184619,1,0,1,0.8423517456274202,0.5412249885813588
0.4220726752678021,0.4754277081333127,2,3,7,0.0474937671607617,0.4731449217152658
0.416405783785724,0.8286723958835889,0,6,1,0.46509162572706153,0.4863942221435266
0.32864571254545544,0.7610556280862122,0,3,7,0.5432657700391975,0.543590405244149
0.4286981584848084,0.550536299827974,3,5,7,0.614809369247035,0.7889064073500055
0.23602796895739686,0.48559451485664173,3,0,5,0.3583276410455948,0.35555896844479024
0.4691242448970282,0.49896826546180295,0,5,5,0.7277697678364227,0.6454021921488468
0.3200565147867254,0.5794259081697704,3,9,5,0.2722106549512978,0.6145313983533905
0.36722643123434157,0.4924147682116242,0,1,0,0.4213596374121805,0.40915409250414286
0.3198934637066764,0.43743600854327525,0,4,6,0.6352304167660027,0.7653643516031683
0.6945694748393881,0.20735393302541053,0,5,7,0.7108121664368515,0.6247512587900406
0.4097016594660964,0.5444874582140222,1,1,3,0.2703780123000964,0.4660352403496892
0.416405783785724,0.5849167352381147,3,2,1,0.9999999999999999,0.26113509403480206
0.5373491222323059,0.40062015060182055,2,3,5,0.36164923040545005,0.5777383398256567
0.416405783785724,0.7360199222276416,1,2,0,0.28692343066463943,0.5362191963621611
0.44365185552441144,0.279550669805666,3,4,5,0.6139613586058151,0.3867571564071621
0.11255870251125649,0.24064802613730166,0,0,1,0.4606127392110785,0.38480143104049586
